No.,Card No,Employee ID,User name,Date,Time,Terminal,IN/OUT,Door
176,Card,0211,Name,2022-09-04,13:03:07,Terminal,In/Out,Door
177,Card,0236,Name,2022-09-04,13:05:26,Terminal,In/Out,Door
178,Card,0022,Name,2022-09-04,13:18:15,Terminal,In/Out,Door
179,Card,0022,Name,2022-09-04,13:18:36,Terminal,In/Out,Door
180,Card,0211,Name,2022-09-04,13:21:00,Terminal,In/Out,Door
181,Card,0361,Name,2022-09-04,13:22:30,Terminal,In/Out,Door
182,Card,0346,Name,2022-09-04,13:22:56,Terminal,In/Out,Door
183,Card,0346,Name,2022-09-04,13:22:59,Terminal,In/Out,Door
184,Card,0244,Name,2022-09-04,13:25:56,Terminal,In/Out,Door
185,Card,2101,Name,2022-09-04,13:28:16,Terminal,In/Out,Door
186,Card,0355,Name,2022-09-04,13:28:53,Terminal,In/Out,Door
187,Card,0022,Name,2022-09-04,13:29:48,Terminal,In/Out,Door
188,Card,0114,Name,2022-09-04,13:36:53,Terminal,In/Out,Door
189,Card,4014,Name,2022-09-04,13:46:18,Terminal,In/Out,Door
190,Card,0299,Name,2022-09-04,13:47:38,Terminal,In/Out,Door
191,Card,2102,Name,2022-09-04,13:53:27,Terminal,In/Out,Door
192,Card,2103,Name,2022-09-04,13:54:13,Terminal,In/Out,Door
193,Card,0114,Name,2022-09-04,13:56:00,Terminal,In/Out,Door
194,Card,0259,Name,2022-09-04,13:57:48,Terminal,In/Out,Door
195,Card,0259,Name,2022-09-04,13:58:27,Terminal,In/Out,Door
196,Card,0022,Name,2022-09-04,14:01:02,Terminal,In/Out,Door
197,Card,0335,Name,2022-09-04,14:02:53,Terminal,In/Out,Door
198,Card,0299,Name,2022-09-04,14:05:06,Terminal,In/Out,Door
199,Card,4014,Name,2022-09-04,14:08:13,Terminal,In/Out,Door
200,Card,0275,Name,2022-09-04,14:11:28,Terminal,In/Out,Door
201,Card,0275,Name,2022-09-04,14:17:36,Terminal,In/Out,Door
202,Card,0362,Name,2022-09-04,14:19:17,Terminal,In/Out,Door
203,Card,0363,Name,2022-09-04,14:22:51,Terminal,In/Out,Door
204,Card,0022,Name,2022-09-04,14:23:35,Terminal,In/Out,Door
205,Card,0340,Name,2022-09-04,14:33:37,Terminal,In/Out,Door
206,Card,0236,Name,2022-09-04,14:34:46,Terminal,In/Out,Door
207,Card,0363,Name,2022-09-04,14:36:28,Terminal,In/Out,Door
208,Card,0275,Name,2022-09-04,14:45:44,Terminal,In/Out,Door
209,Card,0275,Name,2022-09-04,14:48:58,Terminal,In/Out,Door
210,Card,0236,Name,2022-09-04,14:50:26,Terminal,In/Out,Door
211,Card,0333,Name,2022-09-04,14:52:23,Terminal,In/Out,Door
212,Card,0333,Name,2022-09-04,14:55:59,Terminal,In/Out,Door
213,Card,0244,Name,2022-09-04,15:09:06,Terminal,In/Out,Door
214,Card,0236,Name,2022-09-04,15:12:03,Terminal,In/Out,Door
215,Card,0273,Name,2022-09-04,15:18:39,Terminal,In/Out,Door
216,Card,0327,Name,2022-09-04,15:18:59,Terminal,In/Out,Door
217,Card,0273,Name,2022-09-04,15:20:16,Terminal,In/Out,Door
218,Card,0311,Name,2022-09-04,15:43:00,Terminal,In/Out,Door
219,Card,0311,Name,2022-09-04,15:49:46,Terminal,In/Out,Door
220,Card,0340,Name,2022-09-04,15:52:04,Terminal,In/Out,Door
221,Card,0340,Name,2022-09-04,16:10:23,Terminal,In/Out,Door
222,Card,2103,Name,2022-09-04,16:25:58,Terminal,In/Out,Door
223,Card,0114,Name,2022-09-04,16:35:34,Terminal,In/Out,Door
224,Card,2103,Name,2022-09-04,16:44:55,Terminal,In/Out,Door
225,Card,0355,Name,2022-09-04,16:54:57,Terminal,In/Out,Door
226,Card,0236,Name,2022-09-04,17:06:07,Terminal,In/Out,Door
227,Card,0355,Name,2022-09-04,17:07:12,Terminal,In/Out,Door
228,Card,0363,Name,2022-09-04,17:21:38,Terminal,In/Out,Door
229,Card,0340,Name,2022-09-04,17:31:58,Terminal,In/Out,Door
230,Card,0363,Name,2022-09-04,17:32:50,Terminal,In/Out,Door
231,Card,2101,Name,2022-09-04,17:34:36,Terminal,In/Out,Door
232,Card,2101,Name,2022-09-04,17:40:49,Terminal,In/Out,Door
233,Card,0236,Name,2022-09-04,17:48:13,Terminal,In/Out,Door
234,Card,0317,Name,2022-09-04,18:00:46,Terminal,In/Out,Door
235,Card,0122,Name,2022-09-04,18:05:37,Terminal,In/Out,Door
236,Card,0355,Name,2022-09-04,18:06:21,Terminal,In/Out,Door
237,Card,0211,Name,2022-09-04,18:08:34,Terminal,In/Out,Door
238,Card,0346,Name,2022-09-04,18:08:44,Terminal,In/Out,Door
239,Card,0361,Name,2022-09-04,18:12:56,Terminal,In/Out,Door
240,Card,0363,Name,2022-09-04,18:19:54,Terminal,In/Out,Door
241,Card,2101,Name,2022-09-04,18:20:23,Terminal,In/Out,Door
242,Card,0363,Name,2022-09-04,18:20:24,Terminal,In/Out,Door
